scenario,runs,mean_of_mean_evac,ci_mean_evac_95,mean_total_time_including_failures,ci_total_time_95,mean_evacuated_fraction,ci_evacuated_fraction_95,mean_p90,ci_p90_95,mean_max_queue,prob_any_not_evacuated,mean_bottleneck_events,mean_floor_clear_time,mean_panic_freeze_events,mean_panic_bad_route_choices,mean_reaction_time,mean_base_speed,difference_panic_minus_calm_mean_evac,difference_panic_minus_calm_total_time,difference_panic_minus_calm_evacuated_fraction,difference_panic_minus_calm_max_queue
calm,100,83.0640098810004,2.2694245020104167,411.208,28.255236295315484,0.6437999999999999,0.03188858117023247,120.905,5.381848497242627,4.63,1.0,0.0,575.16,0.0,0.0,80.5606,1.0012526638288222,0.2225255659082137,51.898199999999974,-0.056599999999999984,0.16000000000000014
panic,100,83.28653544690862,2.241419135892652,463.1062,27.902563486174255,0.5871999999999999,0.03135267389173715,120.67900000000002,4.979194424088372,4.79,1.0,8.9,574.41,621.89,0.13,80.5606,1.0012526638288222,0.2225255659082137,51.898199999999974,-0.056599999999999984,0.16000000000000014
