seed,agents,evacuated,not_evacuated,mean_evac_time,p90_evac_time,max_queue_any_edge,bottleneck_events,avg_queue_load,mean_speed_mps,mean_total_time_including_failures,evacuated_fraction,max_floor_clear_time,panic_freeze_events,panic_bad_route_choices,mean_reaction_time,mean_base_speed,scenario
12364,50,35,15,80.31428571428572,122.0,3,0,0.007,1.0116150442477876,356.22,0.7,124,0,0,67.68,1.0163775751471753,calm
12364,50,36,14,90.41666666666667,138.0,7,0,10.001,0.9667949951876804,345.1,0.72,120,1526,2,67.68,1.0163775751471753,panic
12365,50,21,29,66.61904761904762,91.0,4,0,0.008,1.026271186440678,607.98,0.42,1000,0,0,83.8,1.033395198855282,calm
12365,50,19,31,68.21052631578948,95.0,4,0,0.002,1.0385996409335727,645.92,0.38,1000,781,0,83.8,1.033395198855282,panic
12366,50,45,5,81.44444444444444,128.6,6,0,0.017,0.9807347670250897,173.3,0.9,172,0,0,65.34,0.9912727150973679,calm
12366,50,33,17,79.87878787878788,130.20000000000002,6,0,9.219,0.9166666666666666,392.72,0.66,188,2385,1,65.34,0.9912727150973679,panic
12367,50,38,12,104.94736842105263,151.50000000000003,4,0,0.0,0.9873684210526316,319.76,0.76,204,0,0,83.76,0.9923608026260888,calm
12367,50,27,23,85.81481481481481,130.8,4,0,0.013,0.9449213161659513,506.34,0.54,1000,280,0,83.76,0.9923608026260888,panic
12368,50,20,30,71.4,87.9,3,0,0.007,1.0070052539404553,628.56,0.4,1000,0,0,95.36,1.001660693575693,calm
12368,50,18,32,88.11111111111111,162.9,6,0,7.427,0.9531001589825119,671.72,0.36,1000,1415,2,95.36,1.001660693575693,panic
12369,50,17,33,64.11764705882354,79.4,4,0,0.004,1.0075471698113208,681.8,0.34,1000,0,0,88.62,0.9998418232801093,calm
12369,50,8,42,58.625,64.3,3,0,1.878,0.9838187702265372,849.38,0.16,1000,885,0,88.62,0.9998418232801093,panic
12370,50,26,24,82.23076923076923,115.0,5,0,0.97,1.0012391573729864,522.76,0.52,1000,0,0,79.56,1.011075741537428,calm
12370,50,24,26,85.04166666666667,115.4,7,0,8.421,0.9884848484848485,560.82,0.48,1000,1135,1,79.56,1.011075741537428,panic
12371,50,43,7,106.93023255813954,169.40000000000003,7,0,0.001,0.99658203125,231.96,0.86,247,0,0,85.9,0.9999316246678931,calm
12371,50,35,15,97.82857142857142,146.0,5,0,0.809,0.9793875147232037,368.48,0.7,146,784,0,85.9,0.9999316246678931,panic
12372,50,37,13,90.13513513513513,130.6,5,0,0.005,1.0,326.7,0.74,164,0,0,77.12,0.9869029474461536,calm
12372,50,35,15,91.82857142857142,138.20000000000002,5,0,4.475,0.9373673036093418,364.28,0.7,187,1118,0,77.12,0.9869029474461536,panic
12373,50,18,32,73.61111111111111,101.6,3,0,0.012,0.9881818181818182,666.5,0.36,1000,0,0,85.16,0.9952913913408696,calm
12373,50,26,24,88.0,138.5,4,0,0.0,0.9844213649851632,525.76,0.52,141,0,0,85.16,0.9952913913408696,panic
12374,50,29,21,76.17241379310344,97.8,5,0,0.922,1.0089858793324775,464.18,0.58,1000,0,0,83.76,1.0027592351487005,calm
12374,50,28,22,78.96428571428571,102.0,5,0,0.034,1.0038961038961038,484.22,0.56,1000,815,0,83.76,1.0027592351487005,panic
12375,50,38,12,94.21052631578948,142.70000000000007,5,0,0.0,1.0310077519379846,311.6,0.76,171,0,0,80.02,1.0260713541853348,calm
12375,50,33,17,91.21212121212122,124.8,4,0,0.001,1.0217391304347827,400.2,0.66,167,508,0,80.02,1.0260713541853348,panic
12376,50,31,19,79.70967741935483,133.0,4,0,0.006,0.9688741721854305,429.42,0.62,164,0,0,66.2,0.9975070671931338,calm
12376,50,24,26,75.29166666666667,113.1,5,0,5.65,0.9369806094182825,556.14,0.48,162,2036,0,66.2,0.9975070671931338,panic
12377,50,36,14,83.52777777777777,131.5,8,0,0.004,0.9840595111583422,340.14,0.72,1000,0,0,92.18,0.9862973665868122,calm
12377,50,31,19,82.19354838709677,122.0,8,0,1.849,0.9824561403508771,430.96,0.62,1000,802,0,92.18,0.9862973665868122,panic
12378,50,27,23,77.0,115.20000000000003,4,0,0.012,1.0080645161290323,501.58,0.54,145,0,0,80.42,1.0092767737758865,calm
12378,50,26,24,83.34615384615384,125.0,4,0,0.004,1.0071428571428571,523.34,0.52,145,845,0,80.42,1.0092767737758865,panic
12379,50,29,21,80.55172413793103,128.79999999999998,5,0,0.967,1.0,466.72,0.58,1000,0,0,83.72,1.0186247888677453,calm
